colour	key	showSelectedlegendsizecolour	showSelected2	PANEL	fill	group
#000000	1	LOPART	1	2	#000000	1
#000000	1	LOPART	2	2	#000000	2
#000000	1	LOPART	3	2	#000000	3
#000000	1	LOPART	4	2	#000000	4
#000000	1	LOPART	5	2	#000000	5
#000000	1	LOPART	6	2	#000000	6
#000000	1	LOPART	7	2	#000000	7
#000000	1	LOPART	8	2	#000000	8
#000000	1	LOPART	9	2	#000000	9
#000000	1	LOPART	10	2	#000000	10
#000000	1	LOPART	11	2	#000000	11
#000000	1	LOPART	12	2	#000000	12
#000000	1	LOPART	13	2	#000000	13
#000000	1	LOPART	14	2	#000000	14
#000000	1	LOPART	15	2	#000000	15
#000000	1	LOPART	16	2	#000000	16
#000000	1	LOPART	17	2	#000000	17
#000000	1	LOPART	18	2	#000000	18
#000000	1	LOPART	19	2	#000000	19
#000000	1	LOPART	20	2	#000000	20
#000000	1	LOPART	21	2	#000000	21
#000000	1	LOPART	22	2	#000000	22
#000000	1	LOPART	23	2	#000000	23
#000000	1	LOPART	24	2	#000000	24
#000000	1	LOPART	25	2	#000000	25
#000000	1	LOPART	26	2	#000000	26
#000000	1	LOPART	27	2	#000000	27
#000000	1	LOPART	28	2	#000000	28
#000000	1	LOPART	29	2	#000000	29
#000000	1	LOPART	30	2	#000000	30
#000000	1	LOPART	31	2	#000000	31
#000000	1	LOPART	32	2	#000000	32
#000000	1	LOPART	33	2	#000000	33
#000000	1	LOPART	34	2	#000000	34
#000000	1	LOPART	35	2	#000000	35
#000000	1	LOPART	36	2	#000000	36
#000000	1	LOPART	37	2	#000000	37
#000000	1	LOPART	38	2	#000000	38
#000000	1	LOPART	39	2	#000000	39
#000000	1	LOPART	40	2	#000000	40
#000000	1	LOPART	41	2	#000000	41
#000000	1	LOPART	42	2	#000000	42
#000000	1	LOPART	43	2	#000000	43
#000000	1	LOPART	44	2	#000000	44
#000000	1	LOPART	45	2	#000000	45
#000000	1	LOPART	46	2	#000000	46
#000000	1	LOPART	47	2	#000000	47
#000000	1	LOPART	48	2	#000000	48
#000000	1	LOPART	49	2	#000000	49
#000000	1	LOPART	50	2	#000000	50
#000000	1	LOPART	51	2	#000000	51
#000000	1	LOPART	52	2	#000000	52
#000000	1	LOPART	53	2	#000000	53
#000000	1	LOPART	54	2	#000000	54
#000000	1	LOPART	55	2	#000000	55
#000000	1	LOPART	56	2	#000000	56
#000000	1	LOPART	57	2	#000000	57
#000000	1	LOPART	58	2	#000000	58
#000000	1	LOPART	59	2	#000000	59
#000000	1	LOPART	60	2	#000000	60
#000000	1	LOPART	61	2	#000000	61
#000000	1	LOPART	62	2	#000000	62
#000000	1	LOPART	63	2	#000000	63
#000000	1	LOPART	64	2	#000000	64
#000000	1	LOPART	65	2	#000000	65
#000000	1	LOPART	66	2	#000000	66
#000000	1	LOPART	67	2	#000000	67
#000000	1	LOPART	68	2	#000000	68
#000000	1	LOPART	69	2	#000000	69
#000000	1	LOPART	70	2	#000000	70
#000000	1	LOPART	71	2	#000000	71
#000000	1	LOPART	72	2	#000000	72
#000000	1	LOPART	73	2	#000000	73
#000000	1	LOPART	74	2	#000000	74
#000000	1	LOPART	75	2	#000000	75
#000000	1	LOPART	76	2	#000000	76
#000000	1	LOPART	77	2	#000000	77
#000000	1	LOPART	78	2	#000000	78
#000000	1	LOPART	79	2	#000000	79
#000000	1	LOPART	90	2	#000000	80
#000000	1	LOPART	91	2	#000000	81
#000000	1	LOPART	92	2	#000000	82
#000000	1	LOPART	93	2	#000000	83
#000000	1	LOPART	94	2	#000000	84
#000000	1	LOPART	95	2	#000000	85
#000000	1	LOPART	96	2	#000000	86
#000000	1	LOPART	97	2	#000000	87
#000000	1	LOPART	98	2	#000000	88
#000000	1	LOPART	99	2	#000000	89
#000000	1	LOPART	100	2	#000000	90
