x	y	key	label	showSelected1	PANEL	group	anchor
1	12.5	1	t=1	1	1	-1	start
2	12.5	1	t=2	2	1	-1	start
3	12.5	1	t=3	3	1	-1	start
4	12.5	1	t=4	4	1	-1	start
5	12.5	1	t=5	5	1	-1	start
6	12.5	1	t=6	6	1	-1	start
7	12.5	1	t=7	7	1	-1	start
8	12.5	1	t=8	8	1	-1	start
9	12.5	1	t=9	9	1	-1	start
10	12.5	1	t=10	10	1	-1	start
11	12.5	1	t=11	11	1	-1	start
12	12.5	1	t=12	12	1	-1	start
13	12.5	1	t=13	13	1	-1	start
14	12.5	1	t=14	14	1	-1	start
15	12.5	1	t=15	15	1	-1	start
16	12.5	1	t=16	16	1	-1	start
17	12.5	1	t=17	17	1	-1	start
18	12.5	1	t=18	18	1	-1	start
19	12.5	1	t=19	19	1	-1	start
20	12.5	1	t=20	20	1	-1	start
21	12.5	1	t=21	21	1	-1	start
22	12.5	1	t=22	22	1	-1	start
23	12.5	1	t=23	23	1	-1	start
24	12.5	1	t=24	24	1	-1	start
25	12.5	1	t=25	25	1	-1	start
26	12.5	1	t=26	26	1	-1	start
27	12.5	1	t=27	27	1	-1	start
28	12.5	1	t=28	28	1	-1	start
29	12.5	1	t=29	29	1	-1	start
30	12.5	1	t=30	30	1	-1	start
31	12.5	1	t=31	31	1	-1	start
32	12.5	1	t=32	32	1	-1	start
33	12.5	1	t=33	33	1	-1	start
34	12.5	1	t=34	34	1	-1	start
35	12.5	1	t=35	35	1	-1	start
36	12.5	1	t=36	36	1	-1	start
37	12.5	1	t=37	37	1	-1	start
38	12.5	1	t=38	38	1	-1	start
39	12.5	1	t=39	39	1	-1	start
40	12.5	1	t=40	40	1	-1	start
41	12.5	1	t=41	41	1	-1	start
42	12.5	1	t=42	42	1	-1	start
43	12.5	1	t=43	43	1	-1	start
44	12.5	1	t=44	44	1	-1	start
45	12.5	1	t=45	45	1	-1	start
46	12.5	1	t=46	46	1	-1	start
47	12.5	1	t=47	47	1	-1	start
48	12.5	1	t=48	48	1	-1	start
49	12.5	1	t=49	49	1	-1	start
50	12.5	1	t=50	50	1	-1	end
51	12.5	1	t=51	51	1	-1	end
52	12.5	1	t=52	52	1	-1	end
53	12.5	1	t=53	53	1	-1	end
54	12.5	1	t=54	54	1	-1	end
55	12.5	1	t=55	55	1	-1	end
56	12.5	1	t=56	56	1	-1	end
57	12.5	1	t=57	57	1	-1	end
58	12.5	1	t=58	58	1	-1	end
59	12.5	1	t=59	59	1	-1	end
60	12.5	1	t=60	60	1	-1	end
61	12.5	1	t=61	61	1	-1	end
62	12.5	1	t=62	62	1	-1	end
63	12.5	1	t=63	63	1	-1	end
64	12.5	1	t=64	64	1	-1	end
65	12.5	1	t=65	65	1	-1	end
66	12.5	1	t=66	66	1	-1	end
67	12.5	1	t=67	67	1	-1	end
68	12.5	1	t=68	68	1	-1	end
69	12.5	1	t=69	69	1	-1	end
70	12.5	1	t=70	70	1	-1	end
71	12.5	1	t=71	71	1	-1	end
72	12.5	1	t=72	72	1	-1	end
73	12.5	1	t=73	73	1	-1	end
74	12.5	1	t=74	74	1	-1	end
75	12.5	1	t=75	75	1	-1	end
76	12.5	1	t=76	76	1	-1	end
77	12.5	1	t=77	77	1	-1	end
78	12.5	1	t=78	78	1	-1	end
79	12.5	1	t=79	79	1	-1	end
80	12.5	1	t=80	80	1	-1	end
81	12.5	1	t=81	81	1	-1	end
82	12.5	1	t=82	82	1	-1	end
83	12.5	1	t=83	83	1	-1	end
84	12.5	1	t=84	84	1	-1	end
85	12.5	1	t=85	85	1	-1	end
86	12.5	1	t=86	86	1	-1	end
87	12.5	1	t=87	87	1	-1	end
88	12.5	1	t=88	88	1	-1	end
89	12.5	1	t=89	89	1	-1	end
90	12.5	1	t=90	90	1	-1	end
91	12.5	1	t=91	91	1	-1	end
92	12.5	1	t=92	92	1	-1	end
93	12.5	1	t=93	93	1	-1	end
94	12.5	1	t=94	94	1	-1	end
95	12.5	1	t=95	95	1	-1	end
96	12.5	1	t=96	96	1	-1	end
97	12.5	1	t=97	97	1	-1	end
98	12.5	1	t=98	98	1	-1	end
99	12.5	1	t=99	99	1	-1	end
100	12.5	1	t=100	100	1	-1	end
